route,sample,renders,protected,deeplink_semantic,deeplink_destination,in_app_semantic,affordance,verdict
/meetings/:meetingId/waiting,/meetings/x-meetingid/waiting,true,false,parentReturn,/meetings/x-meetingid,stackReturn,true,COMPLIANT
/meetings/:meetingId/live,/meetings/x-meetingid/live,true,true,parentReturn,/meetings/x-meetingid,stackReturn,true,PROTECTED_BOUNDARY
/meetings/:meetingId/summary,/meetings/x-meetingid/summary,false,false,parentReturn,/meetings/x-meetingid,stackReturn,true,NOT_A_SURFACE
/meetings/:meetingId/post-meeting,/meetings/x-meetingid/post-meeting,false,false,parentReturn,/meetings/x-meetingid,stackReturn,true,NOT_A_SURFACE
/institution/:institutionId/meetings/:meetingId,/institution/x-institutionid/meetings/x-meetingid,true,false,parentReturn,/institution/x-institutionid/meetings,stackReturn,true,COMPLIANT
/institution/:institutionId/meetings/:meetingId/prep,/institution/x-institutionid/meetings/x-meetingid/prep,false,false,parentReturn,/institution/x-institutionid/meetings/x-meetingid,stackReturn,true,NOT_A_SURFACE
/institution/:institutionId/meetings/:meetingId/room,/institution/x-institutionid/meetings/x-meetingid/room,false,false,parentReturn,/institution/x-institutionid/meetings/x-meetingid,stackReturn,true,NOT_A_SURFACE
/institution/:institutionId/meetings/:meetingId/waiting,/institution/x-institutionid/meetings/x-meetingid/waiting,true,false,parentReturn,/institution/x-institutionid/meetings/x-meetingid,stackReturn,true,COMPLIANT
/institution/:institutionId/meetings/:meetingId/live,/institution/x-institutionid/meetings/x-meetingid/live,true,true,parentReturn,/institution/x-institutionid/meetings/x-meetingid,stackReturn,true,PROTECTED_BOUNDARY
/institution/:institutionId/meetings/:meetingId/summary,/institution/x-institutionid/meetings/x-meetingid/summary,false,false,parentReturn,/institution/x-institutionid/meetings/x-meetingid,stackReturn,true,NOT_A_SURFACE
/institution/:institutionId/meetings/:meetingId/post-meeting,/institution/x-institutionid/meetings/x-meetingid/post-meeting,false,false,parentReturn,/institution/x-institutionid/meetings/x-meetingid,stackReturn,true,NOT_A_SURFACE
/institution/:institutionId/availability,/institution/x-institutionid/availability,true,false,deepLinkFallback,/institution/x-institutionid/explore,stackReturn,true,COMPLIANT
/i/:institutionSlug/meet/:bookingSlug,/i/x-institutionslug/meet/x-bookingslug,true,false,parentReturn,/i/x-institutionslug,stackReturn,true,COMPLIANT
/i/:institutionSlug/meet/cancel/:token,/i/x-institutionslug/meet/cancel/x-token,true,false,parentReturn,/i/x-institutionslug/meet/cancel,stackReturn,true,COMPLIANT
/meet/cancel/:token,/meet/cancel/x-token,true,false,parentReturn,/meet/cancel,stackReturn,true,COMPLIANT
/i/:institutionSlug/meet/reschedule/:token,/i/x-institutionslug/meet/reschedule/x-token,true,false,flowCancel,/home,flowCancel,true,COMPLIANT
/meet/reschedule/:token,/meet/reschedule/x-token,true,false,flowCancel,/me,flowCancel,true,COMPLIANT
/i/:institutionSlug/meet/:bookingSlug/book,/i/x-institutionslug/meet/x-bookingslug/book,true,false,flowCancel,/home,flowCancel,true,COMPLIANT
/messages,/messages,true,false,rootNoReturn,,rootNoReturn,false,ROOT_NO_RETURN_REQUIRED
/messages/new,/messages/new,true,false,flowCancel,/messages,flowCancel,true,COMPLIANT
/messages/c/:conversationId,/messages/c/x-conversationid,true,false,parentReturn,/messages,stackReturn,true,COMPLIANT
/discover/people,/discover/people,true,false,parentReturn,/discover,stackReturn,true,COMPLIANT
/discover/articles,/discover/articles,true,false,parentReturn,/discover,stackReturn,true,COMPLIANT
/discover/institutions,/discover/institutions,true,false,parentReturn,/discover,stackReturn,true,COMPLIANT
/articles/write,/articles/write,true,false,flowCancel,/home,flowCancel,true,COMPLIANT
/articles/write/:articleId,/articles/write/x-articleid,true,false,flowCancel,/home,flowCancel,true,COMPLIANT
/articles/:slug,/articles/x-slug,true,false,deepLinkFallback,/home,stackReturn,true,COMPLIANT
/i/:token,/i/x-token,true,false,deepLinkFallback,/home,stackReturn,true,COMPLIANT
/messages/direct,/messages/direct,false,false,parentReturn,/messages,stackReturn,true,NOT_A_SURFACE
/messages/direct/archived,/messages/direct/archived,false,false,parentReturn,/messages,stackReturn,true,NOT_A_SURFACE
/create,/create,true,false,rootNoReturn,,rootNoReturn,false,ROOT_NO_RETURN_REQUIRED
/saved,/saved,true,false,deepLinkFallback,/home,stackReturn,true,COMPLIANT
/updates,/updates,true,false,deepLinkFallback,/home,stackReturn,true,COMPLIANT
/conversations,/conversations,false,false,deepLinkFallback,/home,stackReturn,true,NOT_A_SURFACE
/activity,/activity,true,false,deepLinkFallback,/home,stackReturn,true,COMPLIANT
/ai/claim-audit,/ai/claim-audit,true,false,deepLinkFallback,/home,stackReturn,true,COMPLIANT
/me,/me,true,false,deepLinkFallback,/home,stackReturn,true,COMPLIANT
/me/edit,/me/edit,true,false,flowCancel,/me,flowCancel,true,COMPLIANT
/security,/security,true,false,deepLinkFallback,/home,stackReturn,true,COMPLIANT
/verify-identity,/verify-identity,true,false,deepLinkFallback,/home,stackReturn,true,COMPLIANT
/devices,/devices,true,false,deepLinkFallback,/home,stackReturn,true,COMPLIANT
/change-password,/change-password,true,false,deepLinkFallback,/home,stackReturn,true,COMPLIANT
/settings/communications,/settings/communications,false,false,deepLinkFallback,/home,stackReturn,true,NOT_A_SURFACE
/me/preferences,/me/preferences,true,false,parentReturn,/me,stackReturn,true,COMPLIANT
/me/blocked,/me/blocked,true,false,parentReturn,/me,stackReturn,true,COMPLIANT
/me/settings/communications,/me/settings/communications,true,false,parentReturn,/me,stackReturn,true,COMPLIANT
/me/follow-requests,/me/follow-requests,true,false,parentReturn,/me,stackReturn,true,COMPLIANT
/me/invitations,/me/invitations,true,false,parentReturn,/me,stackReturn,true,COMPLIANT
/invite,/invite,true,false,deepLinkFallback,/home,stackReturn,true,COMPLIANT
/invite/create,/invite/create,true,false,flowCancel,/home,flowCancel,true,COMPLIANT
/invite/accept,/invite/accept,true,false,parentReturn,/invite,stackReturn,true,COMPLIANT
/invite/import,/invite/import,true,false,parentReturn,/invite,stackReturn,true,COMPLIANT
/admin,/admin,true,false,deepLinkFallback,/home,stackReturn,true,COMPLIANT
/admin/communications,/admin/communications,true,false,parentReturn,/admin,stackReturn,true,COMPLIANT
/admin/institutions,/admin/institutions,true,false,parentReturn,/admin,stackReturn,true,COMPLIANT
/admin/institutions/:id/members,/admin/institutions/x-id/members,true,false,parentReturn,/admin/institutions,stackReturn,true,COMPLIANT
/admin/users,/admin/users,true,false,parentReturn,/admin,stackReturn,true,COMPLIANT
/admin/identity-review,/admin/identity-review,true,false,parentReturn,/admin,stackReturn,true,COMPLIANT
